Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-08-06,1.2138987989494134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0913906733444259,1.0154467571382702,1.5214714298053418,1.0,1.0397265627254375
2020-08-07,1.2017830286094475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.10565537881165,1.0189927620058237,1.5030968417926465,1.0,1.0404727935435647
2020-08-10,1.1797477624961663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1053062949111985,1.0473573432092842,1.493467992000166,1.0,1.0435827241330715
2020-08-11,1.161731494719677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0988000338485764,1.0088976637964424,1.4548007816119823,1.0,1.0349682462864704
2020-08-12,1.1878464441367915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1082742539337205,1.0127194707040963,1.5009395648761423,1.0,1.049398192309692
2020-08-13,1.1947544839927484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1126489695480393,0.9984943260317025,1.5076033893390328,1.0,1.047501131558403
2020-08-14,1.188889230544262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1128332240036056,1.0003810580377754,1.5095467914386422,1.0,1.0475322545672519
2020-08-17,1.2118421484062003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1184057795455977,0.9958474565630135,1.5346187106891305,1.0,1.0508596339934178
2020-08-18,1.2075373666831777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1160654282501266,0.9894111352091012,1.5505877673907906,1.0,1.0531301708508924
2020-08-19,1.207859871871166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1185291924408005,0.9773283575182137,1.541324106196943,1.0,1.0487450213491492
2020-08-20,1.2153099546500965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1174641396453904,0.9660029791002449,1.5658776202960638,1.0,1.052010360870259
2020-08-21,1.206979221541576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1203386139801073,0.9544663915758308,1.5928380176349308,1.0,1.055742236355139
2020-08-24,1.2066708921500964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1346438246658372,0.9710954445963081,1.6059914371295596,1.0,1.0664403068934805
2020-08-25,1.2193350851127427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1311386490753221,0.9703615576868233,1.6214913135333684,1.0,1.07017207932204
